 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    201008        0.688823E-05        0.123214E-03        0.361535E-05        0.329441E+01        0.188898E-01        0.310257E-01        0.931032E-04        0.926044E-09        0.392722E-02        0.386532E-02        0.420569E+00        0.409117E+00       -0.156696E-01        0.100000E+01        0.263781E-17        0.138118E+01        0.138121E+01        0.120645E-03        0.989149E-04        0.268903E+02        0.929194E-01       -0.224968E-01        0.640000E+01
    201009        0.675212E-05        0.140882E-03        0.372249E-05        0.293043E+01        0.159701E-01        0.264003E-01        0.892150E-04        0.147548E-09        0.384713E-02        0.378708E-02        0.436381E+00        0.421618E+00       -0.153900E-01        0.100000E+01        0.863539E-17        0.139000E+01        0.139000E+01        0.101983E-03        0.925657E-04        0.239200E+02        0.116433E+00       -0.142933E-01        0.640000E+01
    201010        0.604886E-05        0.154168E-03        0.358417E-05        0.234167E+01        0.107887E-01        0.181042E-01        0.777677E-04        0.414935E-08        0.338192E-02        0.332944E-02        0.458604E+00        0.433238E+00       -0.153462E-01        0.100000E+01        0.828612E-18        0.139000E+01        0.139000E+01        0.723258E-04        0.781386E-04        0.176419E+02        0.793226E-01       -0.326097E-01        0.640000E+01
    201011        0.560847E-05        0.165372E-03        0.349992E-05        0.227161E+01        0.648285E-02        0.110124E-01        0.578511E-04        0.402864E-08        0.216663E-02        0.212751E-02        0.392751E+00        0.442283E+00       -0.177553E-01        0.100000E+01        0.680885E-17        0.137921E+01        0.137918E+01        0.197000E-04        0.483772E-04        0.127680E+02        0.760900E-01       -0.341067E-01        0.640000E+01
    201012        0.270554E-05        0.813540E-04        0.158835E-05        0.239016E+01        0.262993E-02        0.448672E-02        0.127859E-04        0.462400E-04        0.972339E-03        0.948498E-03        0.234460E+00        0.439398E+00       -0.229247E-01        0.100000E+01        0.147441E-16        0.136147E+01        0.136145E+01        0.707161E-05        0.211496E-04        0.765129E+01        0.329645E-01       -0.670129E+02        0.640000E+01
    201101        0.110879E-05        0.247432E-04        0.467765E-06        0.233656E+01        0.113288E-02        0.190846E-02        0.213683E-06        0.672845E-04        0.398374E-03        0.385107E-03        0.113094E+00        0.402250E+00       -0.248602E-01        0.100000E+01        0.912268E-17        0.136000E+01        0.136000E+01        0.563110E-05        0.839330E-05        0.511258E+01        0.202419E-01       -0.123051E+03        0.640000E+01
    201102        0.455177E-05        0.155552E-03        0.296955E-05        0.187634E+01        0.432381E-02        0.741363E-02        0.333280E-04        0.569699E-06        0.153677E-02        0.159466E-02        0.378216E+00        0.411344E+00        0.430677E-01        0.100000E+01       -0.103609E-16        0.134747E+01        0.134744E+01        0.108107E-04        0.341588E-04        0.751250E+01        0.538500E-01       -0.918857E-01        0.640000E+01
    201103        0.429046E-05        0.126674E-03        0.255832E-05        0.233879E+01        0.554184E-02        0.935355E-02        0.128661E-04        0.231403E-04        0.171313E-02        0.168028E-02        0.332098E+00        0.415284E+00       -0.180110E-01        0.100000E+01       -0.152232E-17        0.133343E+01        0.133341E+01        0.252194E-04        0.376028E-04        0.130984E+02        0.390613E-01       -0.444158E+00        0.640000E+01
    201104        0.605807E-05        0.169128E-03        0.369203E-05        0.228251E+01        0.106032E-01        0.177517E-01        0.716368E-04        0.978351E-08        0.320701E-02        0.316058E-02        0.413592E+00        0.407585E+00       -0.143351E-01        0.100000E+01       -0.622108E-17        0.133000E+01        0.133000E+01        0.670267E-04        0.684161E-04        0.188067E+02        0.980733E-01       -0.271503E-01        0.640000E+01
    201105        0.644431E-05        0.174094E-03        0.388512E-05        0.200578E+01        0.151177E-01        0.251829E-01        0.962974E-04        0.247565E-09        0.536233E-02        0.531339E-02        0.516091E+00        0.426453E+00       -0.818280E-02        0.100000E+01       -0.181083E-16        0.133815E+01        0.133817E+01        0.139677E-03        0.111100E-03        0.205194E+02        0.110777E+00       -0.162484E-01        0.640000E+01
    201106        0.786528E-05        0.178908E-03        0.445732E-05        0.292879E+01        0.220540E-01        0.359908E-01        0.995403E-04        0.155093E-09        0.552494E-02        0.545296E-02        0.425007E+00        0.439675E+00       -0.128607E-01        0.100000E+01        0.203125E-16        0.135844E+01        0.135846E+01        0.127067E-03        0.109051E-03        0.291300E+02        0.120200E+00       -0.133867E-01        0.640000E+01
    201107        0.665785E-05        0.124349E-03        0.326611E-05        0.405925E+01        0.174030E-01        0.280458E-01        0.308167E-04        0.754459E-04        0.310008E-02        0.304699E-02        0.245567E+00        0.435573E+00       -0.154454E-01        0.100000E+01       -0.228769E-18        0.136000E+01        0.136000E+01        0.560387E-04        0.583980E-04        0.337290E+02        0.452387E-01       -0.144298E+01        0.640000E+01
    201108        0.622702E-05        0.122690E-03        0.310534E-05        0.319903E+01        0.155519E-01        0.251278E-01        0.516485E-06        0.740514E-04        0.299179E-02        0.294808E-02        0.250052E+00        0.369976E+00       -0.128124E-01        0.100000E+01        0.114439E-16        0.136000E+01        0.136000E+01        0.503903E-04        0.542355E-04        0.318742E+02        0.300645E-01       -0.539548E+00        0.640000E+01
    201109        0.626522E-05        0.155257E-03        0.357135E-05        0.206304E+01        0.136642E-01        0.224392E-01        0.111405E-04        0.348059E-05        0.373118E-02        0.369321E-02        0.347179E+00        0.339450E+00       -0.973852E-02        0.100000E+01        0.132934E-17        0.136000E+01        0.136000E+01        0.615533E-04        0.657876E-04        0.249233E+02        0.399333E-01       -0.173230E+00        0.640000E+01
    201110        0.639000E-05        0.188156E-03        0.398831E-05        0.170380E+01        0.101313E-01        0.169571E-01        0.631255E-04        0.316245E-07        0.343031E-02        0.351005E-02        0.393181E+00        0.356368E+00        0.220102E-01        0.100000E+01       -0.908295E-17        0.135141E+01        0.135140E+01        0.479516E-04        0.604298E-04        0.189613E+02        0.652355E-01       -0.514871E-01        0.640000E+01
    201111        0.589851E-05        0.198840E-03        0.387493E-05        0.173838E+01        0.653136E-02        0.111067E-01        0.594017E-04        0.116745E-08        0.260721E-02        0.263496E-02        0.402639E+00        0.417782E+00        0.126149E-01        0.100000E+01        0.639035E-17        0.133965E+01        0.133962E+01        0.264667E-04        0.483928E-04        0.124590E+02        0.866933E-01       -0.259400E-01        0.640000E+01
    201112        0.518523E-05        0.196368E-03        0.357067E-05        0.175384E+01        0.401927E-02        0.692585E-02        0.460786E-04        0.815379E-08        0.176710E-02        0.179114E-02        0.377829E+00        0.457031E+00        0.137161E-01        0.100000E+01       -0.155501E-17        0.132153E+01        0.132151E+01        0.771613E-05        0.338495E-04        0.700097E+01        0.700774E-01       -0.409323E-01        0.640000E+01
    201201        0.497167E-05        0.188552E-03        0.342386E-05        0.179796E+01        0.374399E-02        0.645831E-02        0.425645E-04        0.208843E-07        0.169660E-02        0.168860E-02        0.371204E+00        0.473677E+00       -0.381263E-02        0.100000E+01        0.727486E-17        0.130415E+01        0.130414E+01        0.114258E-04        0.324763E-04        0.633032E+01        0.649742E-01       -0.497806E-01        0.640000E+01
    201202        0.532096E-05        0.191411E-03        0.359326E-05        0.197908E+01        0.402004E-02        0.690205E-02        0.450372E-04        0.506341E-09        0.170039E-02        0.167375E-02        0.347277E+00        0.483858E+00       -0.142047E-01        0.100000E+01        0.369660E-18        0.128889E+01        0.128886E+01        0.132979E-04        0.321348E-04        0.802552E+01        0.105162E+00       -0.182724E-01        0.640000E+01
    201203        0.585718E-05        0.182398E-03        0.375813E-05        0.204786E+01        0.748376E-02        0.126512E-01        0.642522E-04        0.290644E-10        0.310695E-02        0.305970E-02        0.416479E+00        0.490276E+00       -0.153253E-01        0.100000E+01        0.426415E-17        0.128043E+01        0.128044E+01        0.602871E-04        0.571602E-04        0.137161E+02        0.140645E+00       -0.952000E-02        0.640000E+01
    201204        0.633619E-05        0.177497E-03        0.392576E-05        0.194439E+01        0.114188E-01        0.191626E-01        0.843826E-04        0.445971E-10        0.499864E-02        0.498551E-02        0.494093E+00        0.500657E+00       -0.395892E-02        0.100000E+01       -0.161817E-18        0.129358E+01        0.129360E+01        0.115970E-03        0.889950E-04        0.174600E+02        0.133267E+00       -0.106727E-01        0.640000E+01
    201205        0.692469E-05        0.175742E-03        0.414934E-05        0.286836E+01        0.102493E-01        0.170292E-01        0.644909E-04        0.129231E-08        0.316664E-02        0.311331E-02        0.341052E+00        0.521184E+00       -0.165820E-01        0.100000E+01        0.933162E-17        0.130319E+01        0.130319E+01        0.517871E-04        0.556445E-04        0.211613E+02        0.102939E+00       -0.192548E-01        0.640000E+01
    201206        0.754872E-05        0.175967E-03        0.440658E-05        0.278454E+01        0.148942E-01        0.245463E-01        0.804619E-04        0.619079E-08        0.468669E-02        0.461822E-02        0.391699E+00        0.525086E+00       -0.143917E-01        0.100000E+01        0.125935E-16        0.130561E+01        0.130563E+01        0.915200E-04        0.787375E-04        0.244467E+02        0.774500E-01       -0.325867E-01        0.640000E+01
    201207        0.824788E-05        0.176804E-03        0.468794E-05        0.323570E+01        0.155703E-01        0.254771E-01        0.730040E-04        0.107187E-07        0.432604E-02        0.426198E-02        0.326348E+00        0.528622E+00       -0.148853E-01        0.100000E+01        0.544753E-17        0.131000E+01        0.131000E+01        0.719452E-04        0.692292E-04        0.278774E+02        0.744000E-01       -0.355000E-01        0.640000E+01
    201208        0.856969E-05        0.178230E-03        0.482590E-05        0.324694E+01        0.158360E-01        0.258309E-01        0.709183E-04        0.160878E-07        0.430985E-02        0.424591E-02        0.312911E+00        0.531152E+00       -0.144417E-01        0.100000E+01        0.127399E-16        0.131000E+01        0.131000E+01        0.649194E-04        0.657286E-04        0.287290E+02        0.713000E-01       -0.388581E-01        0.640000E+01
    201209        0.795554E-05        0.178667E-03        0.461428E-05        0.267903E+01        0.133928E-01        0.220568E-01        0.698764E-04        0.177725E-07        0.442880E-02        0.436675E-02        0.342551E+00        0.533894E+00       -0.136600E-01        0.100000E+01       -0.163107E-17        0.131000E+01        0.131000E+01        0.632600E-04        0.645433E-04        0.247933E+02        0.694300E-01       -0.411467E-01        0.640000E+01
    201210        0.697015E-05        0.176665E-03        0.422844E-05        0.215246E+01        0.903879E-02        0.150958E-01        0.601718E-04        0.252224E-07        0.380872E-02        0.375579E-02        0.355894E+00        0.536520E+00       -0.135542E-01        0.100000E+01        0.125311E-17        0.131000E+01        0.131000E+01        0.457226E-04        0.532288E-04        0.187226E+02        0.655065E-01       -0.468161E-01        0.640000E+01
    201211        0.576458E-05        0.157204E-03        0.354629E-05        0.193557E+01        0.564508E-02        0.951424E-02        0.241919E-04        0.106557E-05        0.265779E-02        0.261976E-02        0.314463E+00        0.535442E+00       -0.140077E-01        0.100000E+01       -0.126148E-16        0.130129E+01        0.130128E+01        0.228067E-04        0.359119E-04        0.138967E+02        0.478367E-01       -0.108000E+00        0.640000E+01
    201212        0.585019E-05        0.176664E-03        0.379380E-05        0.176085E+01        0.398586E-02        0.679765E-02        0.388811E-04        0.259808E-07        0.203556E-02        0.206149E-02        0.299395E+00        0.539896E+00        0.153235E-01        0.100000E+01        0.126425E-16        0.128952E+01        0.128949E+01        0.742065E-05        0.271371E-04        0.982677E+01        0.680968E-01       -0.446903E-01        0.640000E+01
    201301        0.535966E-05        0.171086E-03        0.355177E-05        0.180324E+01        0.297875E-02        0.512040E-02        0.335548E-04        0.327973E-07        0.158905E-02        0.161981E-02        0.289687E+00        0.570789E+00        0.178121E-01        0.100000E+01        0.101121E-16        0.127515E+01        0.127513E+01        0.381452E-05        0.221171E-04        0.662161E+01        0.634710E-01       -0.506581E-01        0.640000E+01
    201302        0.567850E-05        0.171945E-03        0.369467E-05        0.192420E+01        0.320804E-02        0.549354E-02        0.354470E-04        0.450138E-08        0.166661E-02        0.163641E-02        0.273109E+00        0.576207E+00       -0.177382E-01        0.100000E+01        0.674180E-17        0.126305E+01        0.126304E+01        0.610929E-05        0.229317E-04        0.831214E+01        0.836536E-01       -0.287536E-01        0.640000E+01
    201303        0.587453E-05        0.165058E-03        0.372230E-05        0.204341E+01        0.381638E-02        0.649114E-02        0.377220E-04        0.305985E-09        0.185530E-02        0.182207E-02        0.267520E+00        0.577583E+00       -0.171716E-01        0.100000E+01       -0.909514E-17        0.125196E+01        0.125195E+01        0.127113E-04        0.249431E-04        0.108219E+02        0.114774E+00       -0.148387E-01        0.640000E+01
    201304        0.622494E-05        0.157325E-03        0.380694E-05        0.197214E+01        0.659307E-02        0.111161E-01        0.547942E-04        0.281426E-10        0.332075E-02        0.328481E-02        0.347479E+00        0.580186E+00       -0.114758E-01        0.100000E+01       -0.415001E-17        0.125000E+01        0.125000E+01        0.471333E-04        0.434662E-04        0.145083E+02        0.153500E+00       -0.795133E-02        0.640000E+01
    201305        0.674823E-05        0.151310E-03        0.397616E-05        0.188848E+01        0.122195E-01        0.203867E-01        0.836388E-04        0.153838E-11        0.646462E-02        0.644875E-02        0.467863E+00        0.601382E+00       -0.716516E-03        0.100000E+01        0.586222E-18        0.126250E+01        0.126254E+01        0.118677E-03        0.847583E-04        0.190258E+02        0.198484E+00       -0.385452E-02        0.640000E+01
    201306        0.760406E-05        0.148862E-03        0.426725E-05        0.185993E+01        0.198083E-01        0.326043E-01        0.108098E-03        0.704876E-12        0.107063E-01        0.106049E-01        0.520042E+00        0.605258E+00       -0.949701E-02        0.100000E+01        0.603193E-17        0.129772E+01        0.129778E+01        0.193067E-03        0.132065E-03        0.244700E+02        0.206300E+00       -0.328000E-02        0.640000E+01
    201307        0.775175E-05        0.150526E-03        0.433851E-05        0.196747E+01        0.183773E-01        0.302313E-01        0.980501E-04        0.432919E-11        0.948716E-02        0.939208E-02        0.464306E+00        0.606487E+00       -0.985558E-02        0.100000E+01        0.604388E-17        0.133196E+01        0.133200E+01        0.143645E-03        0.108828E-03        0.250806E+02        0.184000E+00       -0.488258E-02        0.640000E+01
    201308        0.780200E-05        0.152915E-03        0.437493E-05        0.183931E+01        0.192724E-01        0.316754E-01        0.101370E-03        0.305604E-10        0.106324E-01        0.105661E-01        0.475770E+00        0.611474E+00       -0.619482E-02        0.100000E+01       -0.158735E-17        0.136050E+01        0.136052E+01        0.148581E-03        0.114761E-03        0.254194E+02        0.153000E+00       -0.789194E-02        0.640000E+01
    201309        0.761601E-05        0.155851E-03        0.432533E-05        0.197464E+01        0.151389E-01        0.249343E-01        0.827197E-04        0.236431E-09        0.785393E-02        0.777372E-02        0.398715E+00        0.617051E+00       -0.993390E-02        0.100000E+01       -0.822033E-18        0.137000E+01        0.137000E+01        0.839733E-04        0.804724E-04        0.244133E+02        0.122500E+00       -0.128700E-01        0.640000E+01
    201310        0.658120E-05        0.158196E-03        0.396636E-05        0.172879E+01        0.952544E-02        0.159152E-01        0.676036E-04        0.821758E-08        0.575441E-02        0.584224E-02        0.394737E+00        0.638644E+00        0.156394E-01        0.100000E+01       -0.178609E-16        0.137000E+01        0.137000E+01        0.498452E-04        0.588858E-04        0.178548E+02        0.829161E-01       -0.302419E-01        0.640000E+01
    201311        0.584233E-05        0.162424E-03        0.370194E-05        0.168661E+01        0.574138E-02        0.973404E-02        0.544199E-04        0.130579E-08        0.371297E-02        0.386846E-02        0.379443E+00        0.676651E+00        0.442113E-01        0.100000E+01       -0.615408E-18        0.135926E+01        0.135924E+01        0.213800E-04        0.405849E-04        0.114887E+02        0.992400E-01       -0.198200E-01        0.640000E+01
    201312        0.515599E-05        0.165708E-03        0.345332E-05        0.169302E+01        0.344954E-02        0.593896E-02        0.440457E-04        0.705020E-08        0.243398E-02        0.252296E-02        0.375200E+00        0.721863E+00        0.366353E-01        0.100000E+01       -0.349519E-17        0.134366E+01        0.134363E+01        0.555194E-05        0.299460E-04        0.510355E+01        0.852258E-01       -0.282065E-01        0.640000E+01
    201401        0.488989E-05        0.158266E-03        0.328368E-05        0.186229E+01        0.328712E-02        0.565820E-02        0.403130E-04        0.452440E-07        0.225008E-02        0.224755E-02        0.358067E+00        0.741425E+00       -0.354609E-03        0.100000E+01        0.139108E-16        0.132594E+01        0.132593E+01        0.798290E-05        0.288567E-04        0.511516E+01        0.650516E-01       -0.476032E-01        0.640000E+01
    201402        0.516629E-05        0.161036E-03        0.341543E-05        0.199493E+01        0.340177E-02        0.583110E-02        0.401798E-04        0.111819E-07        0.220868E-02        0.216448E-02        0.325551E+00        0.742000E+00       -0.195813E-01        0.100000E+01       -0.207758E-17        0.131247E+01        0.131246E+01        0.719000E-05        0.275753E-04        0.674321E+01        0.786893E-01       -0.320714E-01        0.640000E+01
    201403        0.556970E-05        0.156388E-03        0.353855E-05        0.223215E+01        0.454543E-02        0.771169E-02        0.442153E-04        0.319280E-08        0.260321E-02        0.255263E-02        0.310386E+00        0.741180E+00       -0.185507E-01        0.100000E+01       -0.199519E-17        0.129944E+01        0.129941E+01        0.172081E-04        0.314351E-04        0.111490E+02        0.917742E-01       -0.230645E-01        0.640000E+01
    201404        0.612864E-05        0.152093E-03        0.372522E-05        0.222078E+01        0.808889E-02        0.135611E-01        0.627488E-04        0.669335E-09        0.469907E-02        0.462803E-02        0.378807E+00        0.739864E+00       -0.152851E-01        0.100000E+01       -0.868811E-17        0.129190E+01        0.129192E+01        0.587867E-04        0.542576E-04        0.163000E+02        0.111933E+00       -0.153667E-01        0.640000E+01
    201405        0.656366E-05        0.150172E-03        0.388258E-05        0.199194E+01        0.125351E-01        0.208520E-01        0.848726E-04        0.643464E-09        0.784149E-02        0.778079E-02        0.471296E+00        0.744329E+00       -0.743456E-02        0.100000E+01        0.155695E-16        0.130880E+01        0.130883E+01        0.114935E-03        0.874198E-04        0.193742E+02        0.111000E+00       -0.156097E-01        0.640000E+01
    201406        0.757154E-05        0.150301E-03        0.425589E-05        0.213296E+01        0.203087E-01        0.333081E-01        0.104208E-03        0.981875E-09        0.118387E-01        0.117141E-01        0.482360E+00        0.741942E+00       -0.105285E-01        0.100000E+01        0.286708E-17        0.133225E+01        0.133229E+01        0.168967E-03        0.121731E-03        0.258633E+02        0.110327E+00       -0.160700E-01        0.640000E+01
    201407        0.784677E-05        0.152354E-03        0.438024E-05        0.209282E+01        0.216169E-01        0.353310E-01        0.102673E-03        0.213673E-07        0.127032E-01        0.125805E-01        0.462263E+00        0.737815E+00       -0.971458E-02        0.100000E+01       -0.774765E-17        0.136927E+01        0.136931E+01        0.156645E-03        0.119672E-03        0.275419E+02        0.766710E-01       -0.339871E-01        0.640000E+01
    201408        0.774591E-05        0.151606E-03        0.432698E-05        0.222847E+01        0.187396E-01        0.305774E-01        0.838758E-04        0.721339E-07        0.101843E-01        0.100794E-01        0.381788E+00        0.733421E+00       -0.101537E-01        0.100000E+01       -0.300857E-17        0.138698E+01        0.138699E+01        0.976871E-04        0.879773E-04        0.281677E+02        0.657903E-01       -0.463645E-01        0.640000E+01
    201409        0.740544E-05        0.159133E-03        0.426324E-05        0.201125E+01        0.131582E-01        0.216469E-01        0.707028E-04        0.181686E-07        0.792969E-02        0.784551E-02        0.343481E+00        0.729924E+00       -0.103114E-01        0.100000E+01        0.174346E-16        0.138319E+01        0.138318E+01        0.537100E-04        0.638525E-04        0.245767E+02        0.826100E-01       -0.298200E-01        0.640000E+01
    201410        0.650887E-05        0.161497E-03        0.394406E-05        0.163882E+01        0.942417E-02        0.157352E-01        0.663456E-04        0.107716E-07        0.696473E-02        0.711597E-02        0.382183E+00        0.744442E+00        0.221485E-01        0.100000E+01       -0.140390E-16        0.137589E+01        0.137587E+01        0.461548E-04        0.563114E-04        0.183032E+02        0.800484E-01       -0.304742E-01        0.640000E+01
    201411        0.570731E-05        0.163696E-03        0.364646E-05        0.167807E+01        0.522187E-02        0.883804E-02        0.492358E-04        0.231077E-08        0.397946E-02        0.407239E-02        0.339478E+00        0.776892E+00        0.254272E-01        0.100000E+01       -0.422046E-17        0.136415E+01        0.136414E+01        0.114993E-04        0.352886E-04        0.117870E+02        0.992400E-01       -0.198200E-01        0.640000E+01
    201412        0.523142E-05        0.163714E-03        0.345547E-05        0.168813E+01        0.382793E-02        0.654149E-02        0.429847E-04        0.126632E-07        0.304023E-02        0.309831E-02        0.334612E+00        0.800493E+00        0.187580E-01        0.100000E+01       -0.245609E-17        0.134563E+01        0.134560E+01        0.518258E-05        0.291712E-04        0.794935E+01        0.852258E-01       -0.282065E-01        0.640000E+01
    201501        0.485823E-05        0.156167E-03        0.324379E-05        0.175472E+01        0.329426E-02        0.564407E-02        0.375457E-04        0.767036E-07        0.258555E-02        0.261042E-02        0.316715E+00        0.812425E+00        0.980678E-02        0.100000E+01        0.135654E-16        0.132858E+01        0.132855E+01        0.478348E-05        0.256323E-04        0.671194E+01        0.650516E-01       -0.476032E-01        0.640000E+01
    201502        0.499045E-05        0.159190E-03        0.332152E-05        0.176332E+01        0.354146E-02        0.606643E-02        0.417876E-04        0.176025E-07        0.281594E-02        0.285671E-02        0.339074E+00        0.822829E+00        0.938020E-02        0.100000E+01       -0.263606E-17        0.131688E+01        0.131686E+01        0.123629E-04        0.286277E-04        0.667714E+01        0.786893E-01       -0.320714E-01        0.640000E+01
    201503        0.571292E-05        0.151617E-03        0.354685E-05        0.211487E+01        0.671478E-02        0.112908E-01        0.556316E-04        0.535105E-08        0.457060E-02        0.450032E-02        0.353980E+00        0.824555E+00       -0.154508E-01        0.100000E+01        0.428525E-17        0.131000E+01        0.131000E+01        0.428968E-04        0.454949E-04        0.145710E+02        0.917742E-01       -0.230645E-01        0.640000E+01
    201504        0.613789E-05        0.148567E-03        0.369464E-05        0.187389E+01        0.113218E-01        0.188896E-01        0.809489E-04        0.103642E-08        0.855023E-02        0.855232E-02        0.464007E+00        0.827542E+00       -0.189626E-02        0.100000E+01       -0.594074E-17        0.131529E+01        0.131532E+01        0.109567E-03        0.828248E-04        0.181300E+02        0.111933E+00       -0.153667E-01        0.640000E+01
    201505        0.656737E-05        0.148742E-03        0.386434E-05        0.182937E+01        0.166872E-01        0.276616E-01        0.105810E-03        0.292256E-08        0.127952E-01        0.128452E-01        0.563636E+00        0.851167E+00        0.360139E-02        0.100000E+01       -0.892049E-18        0.135130E+01        0.135136E+01        0.193258E-03        0.133446E-03        0.208258E+02        0.124448E+00       -0.143577E-01        0.640000E+01
