 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
  20090910        0.123324E+01        0.123324E+01        0.120121E+01        0.406312E+00        0.530434E-01        0.701766E+00        0.400826E-01        0.162163E-03        0.317620E-01        0.790473E-02        0.238573E-01        0.112047E-03        0.508400E-04        0.100204E-04        0.511862E-04        0.119782E-16        0.260846E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090911        0.123156E+01        0.123156E+01        0.119957E+01        0.406430E+00        0.537790E-01        0.701751E+00        0.376061E-01        0.154590E-03        0.317267E-01        0.793573E-02        0.237910E-01        0.112599E-03        0.510732E-04        0.100430E-04        0.514832E-04        0.133413E-16        0.299228E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090912        0.123007E+01        0.123007E+01        0.119812E+01        0.406547E+00        0.545135E-01        0.701736E+00        0.353188E-01        0.146495E-03        0.316925E-01        0.796573E-02        0.237268E-01        0.113141E-03        0.513008E-04        0.100656E-04        0.517744E-04       -0.122867E-17        0.335720E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090913        0.122875E+01        0.122875E+01        0.119684E+01        0.406665E+00        0.552469E-01        0.701721E+00        0.332091E-01        0.139764E-03        0.316591E-01        0.799462E-02        0.236645E-01        0.113669E-03        0.515222E-04        0.100879E-04        0.520587E-04        0.108127E-16        0.370421E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090914        0.122747E+01        0.122747E+01        0.119561E+01        0.406763E+00        0.558684E-01        0.701706E+00        0.312686E-01        0.119044E-03        0.316305E-01        0.802495E-02        0.236056E-01        0.114181E-03        0.517361E-04        0.101098E-04        0.523347E-04        0.188832E-16        0.401848E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090915        0.122620E+01        0.122620E+01        0.119437E+01        0.406841E+00        0.563872E-01        0.701691E+00        0.294491E-01        0.116069E-03        0.316002E-01        0.805070E-02        0.235495E-01        0.114691E-03        0.519489E-04        0.101320E-04        0.526098E-04        0.211584E-16        0.430370E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090916        0.122502E+01        0.122502E+01        0.119322E+01        0.406919E+00        0.569053E-01        0.701677E+00        0.277236E-01        0.111392E-03        0.315701E-01        0.807577E-02        0.234943E-01        0.115208E-03        0.521643E-04        0.101550E-04        0.528883E-04        0.408977E-16        0.457976E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090917        0.122396E+01        0.122396E+01        0.119219E+01        0.406996E+00        0.574227E-01        0.701662E+00        0.261113E-01        0.106692E-03        0.315406E-01        0.810007E-02        0.234405E-01        0.115720E-03        0.523771E-04        0.101781E-04        0.531642E-04        0.258231E-16        0.484450E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090918        0.122298E+01        0.122298E+01        0.119125E+01        0.407074E+00        0.579394E-01        0.701647E+00        0.245910E-01        0.103693E-03        0.315115E-01        0.812368E-02        0.233878E-01        0.116234E-03        0.525906E-04        0.102018E-04        0.534413E-04       -0.114327E-16        0.509991E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090919        0.122209E+01        0.122209E+01        0.119039E+01        0.407152E+00        0.584554E-01        0.701632E+00        0.231526E-01        0.999912E-04        0.314827E-01        0.814667E-02        0.233360E-01        0.116752E-03        0.528057E-04        0.102261E-04        0.537207E-04        0.130686E-16        0.534727E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090920        0.122128E+01        0.122128E+01        0.118961E+01        0.407229E+00        0.589708E-01        0.701617E+00        0.217957E-01        0.969429E-04        0.314543E-01        0.816901E-02        0.232853E-01        0.117274E-03        0.530216E-04        0.102509E-04        0.540014E-04        0.265788E-16        0.558647E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090921        0.122053E+01        0.122053E+01        0.118889E+01        0.407306E+00        0.594855E-01        0.701602E+00        0.204999E-01        0.949323E-04        0.314260E-01        0.819079E-02        0.232353E-01        0.117808E-03        0.532427E-04        0.102770E-04        0.542887E-04        0.274061E-16        0.581955E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090922        0.122000E+01        0.122000E+01        0.118839E+01        0.407402E+00        0.600966E-01        0.701587E+00        0.193005E-01        0.100940E-03        0.313977E-01        0.821258E-02        0.231851E-01        0.118330E-03        0.534579E-04        0.103026E-04        0.545694E-04       -0.399269E-16        0.605696E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090923        0.121970E+01        0.121970E+01        0.118811E+01        0.407516E+00        0.607957E-01        0.701573E+00        0.182263E-01        0.961723E-04        0.313697E-01        0.823432E-02        0.231354E-01        0.118812E-03        0.536558E-04        0.103263E-04        0.548299E-04       -0.363670E-16        0.629637E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090924        0.121949E+01        0.121949E+01        0.118793E+01        0.407630E+00        0.614937E-01        0.701559E+00        0.172499E-01        0.927171E-04        0.313428E-01        0.825539E-02        0.230874E-01        0.119265E-03        0.538411E-04        0.103486E-04        0.550757E-04       -0.261599E-16        0.652578E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090925        0.121934E+01        0.121934E+01        0.118782E+01        0.407745E+00        0.621907E-01        0.701545E+00        0.163363E-01        0.909047E-04        0.313162E-01        0.827596E-02        0.230403E-01        0.119711E-03        0.540227E-04        0.103709E-04        0.553176E-04       -0.334798E-16        0.674877E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090926        0.121923E+01        0.121923E+01        0.118772E+01        0.407858E+00        0.628870E-01        0.701531E+00        0.154490E-01        0.905619E-04        0.312895E-01        0.829616E-02        0.229933E-01        0.120177E-03        0.542124E-04        0.103950E-04        0.555697E-04       -0.263281E-16        0.696916E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090927        0.121913E+01        0.121913E+01        0.118766E+01        0.407972E+00        0.635826E-01        0.701516E+00        0.145865E-01        0.890452E-04        0.312625E-01        0.831602E-02        0.229465E-01        0.120665E-03        0.544111E-04        0.104210E-04        0.558331E-04        0.330057E-17        0.718738E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090928        0.121908E+01        0.121908E+01        0.118764E+01        0.408085E+00        0.642773E-01        0.701502E+00        0.137734E-01        0.865812E-04        0.312358E-01        0.833542E-02        0.229004E-01        0.121153E-03        0.546090E-04        0.104475E-04        0.560961E-04       -0.430303E-16        0.740081E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090929        0.121910E+01        0.121910E+01        0.118769E+01        0.408199E+00        0.649708E-01        0.701488E+00        0.130287E-01        0.834092E-04        0.312098E-01        0.835434E-02        0.228554E-01        0.121616E-03        0.547965E-04        0.104728E-04        0.563471E-04       -0.381165E-16        0.760743E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
