 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                fINP                 VP1                 VP2                  VM                 KP1                 KP2                  KM                Qmax                 Kba                Kdes                Kads                rEP1                rEP2                 rEM                 pEP                 pEM                  fD                  gD                  Vg               alpha                  Vm                  KD                  Yg                 Q10               gamma               rMORT                beta             Vm_dorm               VmA2D               VmD2A             SWP_A2D                 tau             SWP_D2A               wdorm             VNup_MB          VNup_PLANT            KsNH4_MB            KsNO3_MB         KsNH4_PLANT         KsNO3_PLANT                Vnit              Vdenit                 YgN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20090911        0.400000E+00        0.781344E+01        0.564991E+02        0.331517E+02        0.115441E+03        0.115441E+02        0.115441E+04        0.250000E+01        0.600000E+01        0.660273E-02        0.368719E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.227177E-01        0.100074E-01        0.201803E-03        0.115510E-03        0.393287E+00        0.170005E+01        0.100000E+00        0.785027E-09        0.100000E-02        0.183382E-06        0.863887E-08        0.199616E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.626028E-01        0.000000E+00        0.115441E-03        0.115441E-03        0.000000E+00        0.000000E+00        0.163974E-01        0.000000E+00        0.100000E+01
  20090912        0.400000E+00        0.742942E+01        0.547360E+02        0.317570E+02        0.111658E+03        0.111658E+02        0.111658E+04        0.250000E+01        0.600000E+01        0.645771E-02        0.366678E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.215624E-01        0.100074E-01        0.197371E-03        0.111725E-03        0.394389E+00        0.170005E+01        0.100000E+00        0.819821E-09        0.100000E-02        0.183382E-06        0.882361E-08        0.195138E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.594194E-01        0.000000E+00        0.111658E-03        0.111658E-03        0.000000E+00        0.000000E+00        0.154527E-01        0.000000E+00        0.100000E+01
  20090913        0.400000E+00        0.717669E+01        0.535635E+02        0.308396E+02        0.109150E+03        0.109150E+02        0.109150E+04        0.250000E+01        0.600000E+01        0.636062E-02        0.365291E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.208083E-01        0.100074E-01        0.194403E-03        0.109215E-03        0.395136E+00        0.170005E+01        0.100000E+00        0.856396E-09        0.100000E-02        0.183382E-06        0.907868E-08        0.192107E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.573412E-01        0.000000E+00        0.109150E-03        0.109150E-03        0.000000E+00        0.000000E+00        0.148051E-01        0.000000E+00        0.100000E+01
  20090914        0.400000E+00        0.671281E+01        0.513015E+02        0.290962E+02        0.104360E+03        0.104360E+02        0.104360E+04        0.250000E+01        0.600000E+01        0.617317E-02        0.362570E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.193958E-01        0.100074E-01        0.188674E-03        0.104423E-03        0.396605E+00        0.170005E+01        0.100000E+00        0.894856E-09        0.100000E-02        0.183382E-06        0.920684E-08        0.186346E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.534488E-01        0.000000E+00        0.104360E-03        0.104360E-03        0.000000E+00        0.000000E+00        0.137003E-01        0.000000E+00        0.100000E+01
  20090915        0.400000E+00        0.700453E+01        0.527157E+02        0.301997E+02        0.107533E+03        0.107533E+02        0.107533E+04        0.250000E+01        0.600000E+01        0.629766E-02        0.364384E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.203275E-01        0.100074E-01        0.192479E-03        0.107598E-03        0.395626E+00        0.170005E+01        0.100000E+00        0.935314E-09        0.100000E-02        0.183382E-06        0.981715E-08        0.189998E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.560164E-01        0.000000E+00        0.107533E-03        0.107533E-03        0.000000E+00        0.000000E+00        0.142539E-01        0.000000E+00        0.100000E+01
  20090916        0.400000E+00        0.691991E+01        0.522909E+02        0.298813E+02        0.106732E+03        0.106732E+02        0.106732E+04        0.250000E+01        0.600000E+01        0.626637E-02        0.363931E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.200909E-01        0.100074E-01        0.191523E-03        0.106797E-03        0.395871E+00        0.170005E+01        0.100000E+00        0.977886E-09        0.100000E-02        0.183382E-06        0.102130E-07        0.188943E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.553644E-01        0.000000E+00        0.106732E-03        0.106732E-03        0.000000E+00        0.000000E+00        0.139846E-01        0.000000E+00        0.100000E+01
  20090917        0.400000E+00        0.675777E+01        0.514827E+02        0.292683E+02        0.105102E+03        0.105102E+02        0.105102E+04        0.250000E+01        0.600000E+01        0.620240E-02        0.362998E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.196123E-01        0.100074E-01        0.189568E-03        0.105165E-03        0.396374E+00        0.170005E+01        0.100000E+00        0.102270E-08        0.100000E-02        0.183382E-06        0.105720E-07        0.186899E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.540454E-01        0.000000E+00        0.105102E-03        0.105102E-03        0.000000E+00        0.000000E+00        0.135505E-01        0.000000E+00        0.100000E+01
  20090918        0.400000E+00        0.692808E+01        0.522973E+02        0.299099E+02        0.106999E+03        0.106999E+02        0.106999E+04        0.250000E+01        0.600000E+01        0.627679E-02        0.364082E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.201695E-01        0.100074E-01        0.191841E-03        0.107063E-03        0.395789E+00        0.170005E+01        0.100000E+00        0.106989E-08        0.100000E-02        0.183382E-06        0.111925E-07        0.189018E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.555810E-01        0.000000E+00        0.106999E-03        0.106999E-03        0.000000E+00        0.000000E+00        0.138317E-01        0.000000E+00        0.100000E+01
  20090919        0.400000E+00        0.689008E+01        0.520934E+02        0.297643E+02        0.106688E+03        0.106688E+02        0.106688E+04        0.250000E+01        0.600000E+01        0.626463E-02        0.363905E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.200778E-01        0.100074E-01        0.191470E-03        0.106752E-03        0.395884E+00        0.170005E+01        0.100000E+00        0.111960E-08        0.100000E-02        0.183382E-06        0.116898E-07        0.188523E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.553284E-01        0.000000E+00        0.106688E-03        0.106688E-03        0.000000E+00        0.000000E+00        0.136655E-01        0.000000E+00        0.100000E+01
  20090920        0.400000E+00        0.696979E+01        0.524606E+02        0.300618E+02        0.107622E+03        0.107622E+02        0.107622E+04        0.250000E+01        0.600000E+01        0.630115E-02        0.364435E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.203540E-01        0.100074E-01        0.192586E-03        0.107687E-03        0.395599E+00        0.170005E+01        0.100000E+00        0.117199E-08        0.100000E-02        0.183382E-06        0.123081E-07        0.189486E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.560893E-01        0.000000E+00        0.107622E-03        0.107622E-03        0.000000E+00        0.000000E+00        0.137488E-01        0.000000E+00        0.100000E+01
  20090921        0.400000E+00        0.732102E+01        0.541264E+02        0.313770E+02        0.111382E+03        0.111382E+02        0.111382E+04        0.250000E+01        0.600000E+01        0.644706E-02        0.366526E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.214790E-01        0.100074E-01        0.197046E-03        0.111449E-03        0.394470E+00        0.170005E+01        0.100000E+00        0.122721E-08        0.100000E-02        0.183382E-06        0.131865E-07        0.193726E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.591894E-01        0.000000E+00        0.111382E-03        0.111382E-03        0.000000E+00        0.000000E+00        0.143981E-01        0.000000E+00        0.100000E+01
  20090922        0.400000E+00        0.649470E+01        0.500863E+02        0.282571E+02        0.102718E+03        0.102718E+02        0.102718E+04        0.250000E+01        0.600000E+01        0.610822E-02        0.361612E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.189196E-01        0.100074E-01        0.186689E-03        0.102779E-03        0.397121E+00        0.170005E+01        0.100000E+00        0.128545E-08        0.100000E-02        0.183382E-06        0.130864E-07        0.183398E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.521367E-01        0.000000E+00        0.102718E-03        0.102718E-03        0.000000E+00        0.000000E+00        0.125852E-01        0.000000E+00        0.100000E+01
  20090923        0.400000E+00        0.583558E+01        0.467290E+02        0.257319E+02        0.954697E+02        0.954697E+01        0.954697E+03        0.250000E+01        0.600000E+01        0.581739E-02        0.357229E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.168704E-01        0.100074E-01        0.177800E-03        0.955270E-04        0.399487E+00        0.170005E+01        0.100000E+00        0.134689E-08        0.100000E-02        0.183382E-06        0.130590E-07        0.174519E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.464895E-01        0.000000E+00        0.954697E-04        0.954697E-04        0.000000E+00        0.000000E+00        0.111352E-01        0.000000E+00        0.100000E+01
  20090924        0.400000E+00        0.546446E+01        0.447716E+02        0.242927E+02        0.912681E+02        0.912681E+01        0.912681E+03        0.250000E+01        0.600000E+01        0.564543E-02        0.354559E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.157218E-01        0.100074E-01        0.172545E-03        0.913229E-04        0.400928E+00        0.170005E+01        0.100000E+00        0.141174E-08        0.100000E-02        0.183382E-06        0.132831E-07        0.169210E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.433244E-01        0.000000E+00        0.912681E-04        0.912681E-04        0.000000E+00        0.000000E+00        0.102962E-01        0.000000E+00        0.100000E+01
  20090925        0.400000E+00        0.552403E+01        0.450635E+02        0.245193E+02        0.920488E+02        0.920488E+01        0.920488E+03        0.250000E+01        0.600000E+01        0.567758E-02        0.355063E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.159330E-01        0.100074E-01        0.173527E-03        0.921040E-04        0.400656E+00        0.170005E+01        0.100000E+00        0.148020E-08        0.100000E-02        0.183382E-06        0.140066E-07        0.170014E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.439063E-01        0.000000E+00        0.920488E-04        0.920488E-04        0.000000E+00        0.000000E+00        0.103525E-01        0.000000E+00        0.100000E+01
  20090926        0.400000E+00        0.606893E+01        0.478546E+02        0.266136E+02        0.983736E+02        0.983736E+01        0.983736E+03        0.250000E+01        0.600000E+01        0.593477E-02        0.359018E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.176812E-01        0.100074E-01        0.181388E-03        0.984327E-04        0.398522E+00        0.170005E+01        0.100000E+00        0.155252E-08        0.100000E-02        0.183382E-06        0.153564E-07        0.177540E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.487239E-01        0.000000E+00        0.983736E-04        0.983736E-04        0.000000E+00        0.000000E+00        0.113974E-01        0.000000E+00        0.100000E+01
  20090927        0.400000E+00        0.624401E+01        0.487141E+02        0.272771E+02        0.100421E+03        0.100421E+02        0.100421E+04        0.250000E+01        0.600000E+01        0.601681E-02        0.360252E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.182610E-01        0.100074E-01        0.183896E-03        0.100481E-03        0.397856E+00        0.170005E+01        0.100000E+00        0.162894E-08        0.100000E-02        0.183382E-06        0.163350E-07        0.179806E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.503216E-01        0.000000E+00        0.100421E-03        0.100421E-03        0.000000E+00        0.000000E+00        0.116772E-01        0.000000E+00        0.100000E+01
  20090928        0.400000E+00        0.602335E+01        0.475727E+02        0.264273E+02        0.980428E+02        0.980428E+01        0.980428E+03        0.250000E+01        0.600000E+01        0.592145E-02        0.358816E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.175881E-01        0.100074E-01        0.180981E-03        0.981016E-04        0.398631E+00        0.170005E+01        0.100000E+00        0.170972E-08        0.100000E-02        0.183382E-06        0.168734E-07        0.176762E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.484674E-01        0.000000E+00        0.980428E-04        0.980428E-04        0.000000E+00        0.000000E+00        0.111564E-01        0.000000E+00        0.100000E+01
  20090929        0.400000E+00        0.544467E+01        0.445516E+02        0.241902E+02        0.914628E+02        0.914628E+01        0.914628E+03        0.250000E+01        0.600000E+01        0.565346E-02        0.354685E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.157743E-01        0.100074E-01        0.172790E-03        0.915176E-04        0.400860E+00        0.170005E+01        0.100000E+00        0.179516E-08        0.100000E-02        0.183382E-06        0.169148E-07        0.168565E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.434692E-01        0.000000E+00        0.914628E-04        0.914628E-04        0.000000E+00        0.000000E+00        0.992476E-02        0.000000E+00        0.100000E+01
  20090930        0.400000E+00        0.590562E+01        0.469193E+02        0.259629E+02        0.968921E+02        0.968921E+01        0.968921E+03        0.250000E+01        0.600000E+01        0.587503E-02        0.358111E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.172658E-01        0.100074E-01        0.179562E-03        0.969502E-04        0.399011E+00        0.170005E+01        0.100000E+00        0.188555E-08        0.100000E-02        0.183382E-06        0.184628E-07        0.174956E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.475792E-01        0.000000E+00        0.968921E-04        0.968921E-04        0.000000E+00        0.000000E+00        0.107743E-01        0.000000E+00        0.100000E+01
  20091001        0.400000E+00        0.654717E+01        0.501130E+02        0.284024E+02        0.104143E+03        0.104143E+02        0.104143E+04        0.250000E+01        0.600000E+01        0.616460E-02        0.362444E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.193325E-01        0.100074E-01        0.188412E-03        0.104205E-03        0.396673E+00        0.170005E+01        0.100000E+00        0.198123E-08        0.100000E-02        0.183382E-06        0.203558E-07        0.183341E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.532745E-01        0.000000E+00        0.104143E-03        0.104143E-03        0.000000E+00        0.000000E+00        0.119645E-01        0.000000E+00        0.100000E+01
  20091002        0.400000E+00        0.536970E+01        0.440787E+02        0.238802E+02        0.908411E+02        0.908411E+01        0.908411E+03        0.250000E+01        0.600000E+01        0.562781E-02        0.354282E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.156067E-01        0.100074E-01        0.172006E-03        0.908956E-04        0.401078E+00        0.170005E+01        0.100000E+00        0.208255E-08        0.100000E-02        0.183382E-06        0.195337E-07        0.167146E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.430072E-01        0.000000E+00        0.908411E-04        0.908411E-04        0.000000E+00        0.000000E+00        0.957837E-02        0.000000E+00        0.100000E+01
  20091003        0.400000E+00        0.516077E+01        0.429399E+02        0.230600E+02        0.884278E+02        0.884278E+01        0.884278E+03        0.250000E+01        0.600000E+01        0.552769E-02        0.352696E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.149620E-01        0.100074E-01        0.168946E-03        0.884809E-04        0.401934E+00        0.170005E+01        0.100000E+00        0.218990E-08        0.100000E-02        0.183382E-06        0.201751E-07        0.163934E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.412308E-01        0.000000E+00        0.884278E-04        0.884278E-04        0.000000E+00        0.000000E+00        0.910574E-02        0.000000E+00        0.100000E+01
  20091004        0.400000E+00        0.519117E+01        0.430757E+02        0.231717E+02        0.888833E+02        0.888833E+01        0.888833E+03        0.250000E+01        0.600000E+01        0.554666E-02        0.352998E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.150830E-01        0.100074E-01        0.169526E-03        0.889366E-04        0.401771E+00        0.170005E+01        0.100000E+00        0.230367E-08        0.100000E-02        0.183382E-06        0.212961E-07        0.164243E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.415640E-01        0.000000E+00        0.888833E-04        0.888833E-04        0.000000E+00        0.000000E+00        0.910171E-02        0.000000E+00        0.100000E+01
  20091005        0.400000E+00        0.517116E+01        0.429412E+02        0.230864E+02        0.887313E+02        0.887313E+01        0.887313E+03        0.250000E+01        0.600000E+01        0.554033E-02        0.352898E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.150426E-01        0.100074E-01        0.169333E-03        0.887845E-04        0.401826E+00        0.170005E+01        0.100000E+00        0.242433E-08        0.100000E-02        0.183382E-06        0.223859E-07        0.163789E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.414527E-01        0.000000E+00        0.887313E-04        0.887313E-04        0.000000E+00        0.000000E+00        0.899993E-02        0.000000E+00        0.100000E+01
  20091006        0.400000E+00        0.534241E+01        0.438233E+02        0.237451E+02        0.908799E+02        0.908799E+01        0.908799E+03        0.250000E+01        0.600000E+01        0.562941E-02        0.354308E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.156171E-01        0.100074E-01        0.172055E-03        0.909344E-04        0.401064E+00        0.170005E+01        0.100000E+00        0.255233E-08        0.100000E-02        0.183382E-06        0.239469E-07        0.166135E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.430360E-01        0.000000E+00        0.908799E-04        0.908799E-04        0.000000E+00        0.000000E+00        0.926333E-02        0.000000E+00        0.100000E+01
  20091007        0.400000E+00        0.481694E+01        0.409684E+02        0.216849E+02        0.845617E+02        0.845617E+01        0.845617E+03        0.250000E+01        0.600000E+01        0.536538E-02        0.350078E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.139500E-01        0.100074E-01        0.163985E-03        0.846124E-04        0.403348E+00        0.170005E+01        0.100000E+00        0.268820E-08        0.100000E-02        0.183382E-06        0.240386E-07        0.158053E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.384419E-01        0.000000E+00        0.845617E-04        0.845617E-04        0.000000E+00        0.000000E+00        0.820268E-02        0.000000E+00        0.100000E+01
