 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20090914        0.331458E-05        0.494292E-04        0.145875E-05        0.176708E+01        0.159292E-01        0.266750E-01        0.997250E-04        0.145750E-08        0.382625E-02        0.379042E-02        0.534333E+00        0.253667E+00       -0.936667E-02        0.100000E+01        0.187667E-16        0.123000E+01        0.123000E+01        0.659000E-04        0.121000E-03        0.210000E+02        0.765000E-01       -0.334000E-01        0.640000E+01
  20090915        0.337042E-05        0.494083E-04        0.147667E-05        0.186625E+01        0.162833E-01        0.272167E-01        0.988292E-04        0.161333E-08        0.371667E-02        0.367667E-02        0.519292E+00        0.254708E+00       -0.106125E-01        0.100000E+01        0.211012E-16        0.123000E+01        0.123000E+01        0.659000E-04        0.117417E-03        0.217000E+02        0.761000E-01       -0.338000E-01        0.640000E+01
  20090916        0.336792E-05        0.494792E-04        0.148000E-05        0.189458E+01        0.158167E-01        0.264500E-01        0.967208E-04        0.171625E-08        0.357333E-02        0.353375E-02        0.510917E+00        0.255750E+00       -0.108500E-01        0.100000E+01        0.408208E-16        0.122542E+01        0.122500E+01        0.659000E-04        0.112792E-03        0.216000E+02        0.757000E-01       -0.342000E-01        0.640000E+01
  20090917        0.335417E-05        0.495792E-04        0.148000E-05        0.190792E+01        0.152083E-01        0.254542E-01        0.943833E-04        0.181167E-08        0.342625E-02        0.338792E-02        0.504083E+00        0.256792E+00       -0.110708E-01        0.100000E+01        0.258958E-16        0.122000E+01        0.122000E+01        0.659000E-04        0.108083E-03        0.212000E+02        0.753000E-01       -0.346000E-01        0.640000E+01
  20090918        0.339250E-05        0.495833E-04        0.149208E-05        0.198208E+01        0.153042E-01        0.255917E-01        0.932333E-04        0.197333E-08        0.333250E-02        0.329458E-02        0.492292E+00        0.257750E+00       -0.113167E-01        0.100000E+01       -0.114750E-16        0.122000E+01        0.122000E+01        0.659000E-04        0.105000E-03        0.216000E+02        0.749000E-01       -0.350000E-01        0.640000E+01
  20090919        0.339625E-05        0.496542E-04        0.149792E-05        0.201583E+01        0.149750E-01        0.250417E-01        0.914333E-04        0.210542E-08        0.321833E-02        0.318083E-02        0.484000E+00        0.258750E+00       -0.115458E-01        0.100000E+01        0.130333E-16        0.122000E+01        0.122000E+01        0.659000E-04        0.101304E-03        0.216000E+02        0.745000E-01       -0.354000E-01        0.640000E+01
  20090920        0.342042E-05        0.496833E-04        0.150750E-05        0.207208E+01        0.148875E-01        0.248833E-01        0.900000E-04        0.227083E-08        0.312292E-02        0.308625E-02        0.474000E+00        0.259667E+00       -0.117833E-01        0.100000E+01        0.266050E-16        0.122000E+01        0.122000E+01        0.659000E-04        0.982083E-04        0.218000E+02        0.741000E-01       -0.358000E-01        0.640000E+01
  20090921        0.348583E-05        0.496667E-04        0.152875E-05        0.218042E+01        0.153125E-01        0.255417E-01        0.893333E-04        0.250875E-08        0.306083E-02        0.302375E-02        0.460167E+00        0.260625E+00       -0.120417E-01        0.100000E+01        0.273583E-16        0.122000E+01        0.122000E+01        0.659000E-04        0.961625E-04        0.226000E+02        0.737000E-01       -0.362000E-01        0.640000E+01
  20090922        0.336583E-05        0.499417E-04        0.150000E-05        0.194208E+01        0.143542E-01        0.240667E-01        0.909250E-04        0.234125E-08        0.324417E-02        0.320667E-02        0.494792E+00        0.261542E+00       -0.114750E-01        0.100000E+01       -0.399583E-16        0.122000E+01        0.122000E+01        0.869000E-04        0.101771E-03        0.206000E+02        0.733000E-01       -0.366000E-01        0.640000E+01
  20090923        0.326542E-05        0.502208E-04        0.147708E-05        0.183042E+01        0.128708E-01        0.216750E-01        0.878208E-04        0.231375E-08        0.310792E-02        0.307208E-02        0.502250E+00        0.262458E+00       -0.115167E-01        0.100000E+01       -0.364421E-16        0.122000E+01        0.122000E+01        0.869000E-04        0.974708E-04        0.189000E+02        0.729000E-01       -0.370000E-01        0.640000E+01
  20090924        0.320875E-05        0.504208E-04        0.146417E-05        0.177667E+01        0.119708E-01        0.202250E-01        0.854917E-04        0.235458E-08        0.299792E-02        0.296250E-02        0.504125E+00        0.263333E+00       -0.116000E-01        0.100000E+01       -0.261546E-16        0.122000E+01        0.122000E+01        0.869000E-04        0.939333E-04        0.178000E+02        0.725000E-01       -0.375000E-01        0.640000E+01
  20090925        0.322708E-05        0.504292E-04        0.147042E-05        0.181750E+01        0.119708E-01        0.202125E-01        0.846667E-04        0.253042E-08        0.293958E-02        0.290500E-02        0.496917E+00        0.264208E+00       -0.117708E-01        0.100000E+01       -0.334788E-16        0.122000E+01        0.122000E+01        0.869000E-04        0.920500E-04        0.180000E+02        0.721000E-01       -0.379000E-01        0.640000E+01
  20090926        0.333000E-05        0.502417E-04        0.150083E-05        0.196708E+01        0.129333E-01        0.217125E-01        0.852625E-04        0.288500E-08        0.293083E-02        0.289458E-02        0.479250E+00        0.265042E+00       -0.120583E-01        0.100000E+01       -0.262858E-16        0.122000E+01        0.122000E+01        0.869000E-04        0.916750E-04        0.196000E+02        0.717000E-01       -0.384000E-01        0.640000E+01
  20090927        0.336833E-05        0.502333E-04        0.151542E-05        0.203292E+01        0.131333E-01        0.220208E-01        0.846875E-04        0.313750E-08        0.288667E-02        0.284958E-02        0.470000E+00        0.266000E+00       -0.122500E-01        0.100000E+01        0.328750E-17        0.122000E+01        0.122000E+01        0.869000E-04        0.902000E-04        0.201000E+02        0.713000E-01       -0.388000E-01        0.640000E+01
  20090928        0.334083E-05        0.503583E-04        0.151000E-05        0.201042E+01        0.125750E-01        0.211333E-01        0.831000E-04        0.326000E-08        0.281000E-02        0.277500E-02        0.469083E+00        0.266875E+00       -0.123583E-01        0.100000E+01       -0.430046E-16        0.122000E+01        0.122000E+01        0.869000E-04        0.877542E-04        0.195000E+02        0.709000E-01       -0.393000E-01        0.640000E+01
  20090929        0.324708E-05        0.506500E-04        0.149000E-05        0.189833E+01        0.113750E-01        0.192042E-01        0.806125E-04        0.323208E-08        0.271125E-02        0.267708E-02        0.477208E+00        0.267667E+00       -0.123667E-01        0.100000E+01       -0.381917E-16        0.122000E+01        0.122000E+01        0.869000E-04        0.845708E-04        0.179000E+02        0.705000E-01       -0.398000E-01        0.640000E+01
  20090930        0.333625E-05        0.504875E-04        0.151542E-05        0.215292E+01        0.112958E-01        0.190000E-01        0.754000E-04        0.386167E-08        0.237750E-02        0.234500E-02        0.429875E+00        0.268417E+00       -0.133708E-01        0.100000E+01       -0.223063E-16        0.122000E+01        0.122000E+01        0.685000E-04        0.741167E-04        0.192000E+02        0.701000E-01       -0.403000E-01        0.640000E+01
  20091001        0.345500E-05        0.503375E-04        0.155000E-05        0.233583E+01        0.121833E-01        0.203958E-01        0.754083E-04        0.442167E-08        0.235958E-02        0.232667E-02        0.410292E+00        0.269083E+00       -0.136583E-01        0.100000E+01       -0.150917E-16        0.122000E+01        0.122000E+01        0.685000E-04        0.734917E-04        0.210000E+02        0.697000E-01       -0.408000E-01        0.640000E+01
  20091002        0.325792E-05        0.508375E-04        0.150000E-05        0.207250E+01        0.101417E-01        0.171167E-01        0.721042E-04        0.411458E-08        0.223500E-02        0.220500E-02        0.430292E+00        0.270000E+00       -0.135917E-01        0.100000E+01       -0.448758E-16        0.122000E+01        0.122000E+01        0.685000E-04        0.695833E-04        0.177000E+02        0.693000E-01       -0.413000E-01        0.640000E+01
  20091003        0.322667E-05        0.509792E-04        0.149417E-05        0.204083E+01        0.969417E-02        0.163875E-01        0.707375E-04        0.426458E-08        0.217875E-02        0.214875E-02        0.430417E+00        0.270708E+00       -0.136875E-01        0.100000E+01       -0.984167E-17        0.122000E+01        0.122000E+01        0.685000E-04        0.677708E-04        0.171000E+02        0.689000E-01       -0.418000E-01        0.640000E+01
  20091004        0.323917E-05        0.510000E-04        0.150000E-05        0.207042E+01        0.965625E-02        0.163292E-01        0.700000E-04        0.455917E-08        0.214500E-02        0.211500E-02        0.425042E+00        0.271250E+00       -0.138333E-01        0.100000E+01       -0.235133E-16        0.122000E+01        0.122000E+01        0.685000E-04        0.666583E-04        0.172000E+02        0.685000E-01       -0.423000E-01        0.640000E+01
  20091005        0.324250E-05        0.510500E-04        0.150208E-05        0.208542E+01        0.954208E-02        0.161375E-01        0.691750E-04        0.484167E-08        0.210958E-02        0.207958E-02        0.421167E+00        0.272000E+00       -0.139542E-01        0.100000E+01       -0.142500E-16        0.122000E+01        0.122000E+01        0.685000E-04        0.655167E-04        0.172000E+02        0.681000E-01       -0.429000E-01        0.640000E+01
  20091006        0.328125E-05        0.509958E-04        0.151625E-05        0.215333E+01        0.973250E-02        0.164375E-01        0.687333E-04        0.527458E-08        0.208750E-02        0.205750E-02        0.412583E+00        0.272792E+00       -0.141208E-01        0.100000E+01       -0.197208E-16        0.122000E+01        0.122000E+01        0.685000E-04        0.647792E-04        0.177000E+02        0.677000E-01       -0.434000E-01        0.640000E+01
  20091007        0.318833E-05        0.513333E-04        0.149250E-05        0.202417E+01        0.883167E-02        0.149750E-01        0.670167E-04        0.521917E-08        0.202750E-02        0.199833E-02        0.422833E+00        0.273292E+00       -0.141042E-01        0.100000E+01       -0.121333E-17        0.122000E+01        0.122000E+01        0.685000E-04        0.628625E-04        0.161000E+02        0.673000E-01       -0.440000E-01        0.640000E+01
  20091008        0.330667E-05        0.510375E-04        0.152833E-05        0.237833E+01        0.859083E-02        0.144875E-01        0.598042E-04        0.648833E-08        0.167792E-02        0.165125E-02        0.357708E+00        0.274000E+00       -0.154708E-01        0.100000E+01       -0.387125E-17        0.122000E+01        0.122000E+01        0.484000E-04        0.519958E-04        0.180000E+02        0.669000E-01       -0.446000E-01        0.640000E+01
  20091009        0.314708E-05        0.515792E-04        0.148917E-05        0.214958E+01        0.730292E-02        0.124125E-01        0.574792E-04        0.616542E-08        0.159125E-02        0.156542E-02        0.373667E+00        0.274625E+00       -0.154833E-01        0.100000E+01       -0.335000E-18        0.122000E+01        0.122000E+01        0.484000E-04        0.492792E-04        0.152000E+02        0.665000E-01       -0.452000E-01        0.640000E+01
  20091010        0.309708E-05        0.518417E-04        0.147792E-05        0.207917E+01        0.685792E-02        0.116875E-01        0.563583E-04        0.620583E-08        0.155167E-02        0.152667E-02        0.377875E+00        0.275000E+00       -0.155417E-01        0.100000E+01        0.499583E-17        0.122000E+01        0.122000E+01        0.484000E-04        0.480208E-04        0.141000E+02        0.662000E-01       -0.456000E-01        0.640000E+01
  20091011        0.309083E-05        0.521833E-04        0.148000E-05        0.206083E+01        0.666125E-02        0.113625E-01        0.559125E-04        0.561000E-08        0.152542E-02        0.150125E-02        0.377708E+00        0.275833E+00       -0.156250E-01        0.100000E+01        0.753333E-17        0.122000E+01        0.122000E+01        0.484000E-04        0.471792E-04        0.138000E+02        0.669000E-01       -0.446000E-01        0.640000E+01
  20091012        0.318167E-05        0.521542E-04        0.151000E-05        0.219167E+01        0.708208E-02        0.120375E-01        0.561458E-04        0.546542E-08        0.152375E-02        0.149875E-02        0.363417E+00        0.276000E+00       -0.158083E-01        0.100000E+01        0.252500E-17        0.122000E+01        0.122000E+01        0.484000E-04        0.470917E-04        0.151000E+02        0.676000E-01       -0.436000E-01        0.640000E+01
  20091013        0.325500E-05        0.522500E-04        0.153292E-05        0.229125E+01        0.737208E-02        0.124958E-01        0.562083E-04        0.517042E-08        0.151667E-02        0.149208E-02        0.352667E+00        0.277000E+00       -0.159667E-01        0.100000E+01        0.265625E-17        0.122000E+01        0.122000E+01        0.484000E-04        0.468583E-04        0.161000E+02        0.684000E-01       -0.425000E-01        0.640000E+01
  20091014        0.326625E-05        0.525375E-04        0.154042E-05        0.229542E+01        0.727250E-02        0.123333E-01        0.558417E-04        0.474708E-08        0.149667E-02        0.147208E-02        0.350417E+00        0.277167E+00       -0.160583E-01        0.100000E+01       -0.132288E-16        0.122000E+01        0.122000E+01        0.484000E-04        0.462042E-04        0.160000E+02        0.691000E-01       -0.416000E-01        0.640000E+01
  20091015        0.324375E-05        0.529333E-04        0.154000E-05        0.224708E+01        0.697000E-02        0.118375E-01        0.552917E-04        0.426083E-08        0.147042E-02        0.144583E-02        0.353042E+00        0.278000E+00       -0.161083E-01        0.100000E+01        0.108708E-16        0.122000E+01        0.122000E+01        0.484000E-04        0.453708E-04        0.153000E+02        0.698000E-01       -0.407000E-01        0.640000E+01
  20091016        0.324000E-05        0.532792E-04        0.154708E-05        0.227833E+01        0.650500E-02        0.110583E-01        0.525875E-04        0.391583E-08        0.135875E-02        0.133542E-02        0.338458E+00        0.278250E+00       -0.165583E-01        0.100000E+01       -0.158596E-16        0.122000E+01        0.122000E+01        0.432000E-04        0.418833E-04        0.149000E+02        0.706000E-01       -0.397000E-01        0.640000E+01
  20091017        0.322208E-05        0.536625E-04        0.154750E-05        0.223792E+01        0.625167E-02        0.106458E-01        0.520042E-04        0.353625E-08        0.133375E-02        0.130917E-02        0.339917E+00        0.279000E+00       -0.166292E-01        0.100000E+01        0.239256E-16        0.122000E+01        0.122000E+01        0.432000E-04        0.410750E-04        0.143000E+02        0.713000E-01       -0.388000E-01        0.640000E+01
  20091018        0.322708E-05        0.539750E-04        0.155042E-05        0.222875E+01        0.613333E-02        0.104542E-01        0.516583E-04        0.320333E-08        0.131583E-02        0.129375E-02        0.339167E+00        0.279292E+00       -0.167000E-01        0.100000E+01        0.126762E-16        0.122000E+01        0.122000E+01        0.432000E-04        0.405333E-04        0.141000E+02        0.721000E-01       -0.379000E-01        0.640000E+01
  20091019        0.337250E-05        0.537583E-04        0.159667E-05        0.244667E+01        0.679208E-02        0.115000E-01        0.518917E-04        0.325167E-08        0.132375E-02        0.130125E-02        0.318792E+00        0.280000E+00       -0.169042E-01        0.100000E+01        0.253269E-16        0.122000E+01        0.122000E+01        0.432000E-04        0.407458E-04        0.163000E+02        0.728000E-01       -0.371000E-01        0.640000E+01
  20091020        0.347042E-05        0.537833E-04        0.162792E-05        0.258333E+01        0.717000E-02        0.121042E-01        0.518417E-04        0.317292E-08        0.132292E-02        0.129875E-02        0.306542E+00        0.280292E+00       -0.170292E-01        0.100000E+01        0.190583E-17        0.122000E+01        0.122000E+01        0.432000E-04        0.406792E-04        0.176000E+02        0.735000E-01       -0.364000E-01        0.640000E+01
  20091021        0.347792E-05        0.540958E-04        0.163375E-05        0.257750E+01        0.705333E-02        0.119083E-01        0.514792E-04        0.289083E-08        0.130583E-02        0.128375E-02        0.305500E+00        0.281000E+00       -0.171000E-01        0.100000E+01        0.149460E-16        0.122000E+01        0.122000E+01        0.432000E-04        0.401708E-04        0.174000E+02        0.743000E-01       -0.356000E-01        0.640000E+01
  20091022        0.339833E-05        0.546458E-04        0.162000E-05        0.243708E+01        0.649750E-02        0.110042E-01        0.508708E-04        0.252292E-08        0.127875E-02        0.125708E-02        0.315375E+00        0.281250E+00       -0.171083E-01        0.100000E+01       -0.113954E-16        0.122000E+01        0.122000E+01        0.432000E-04        0.393167E-04        0.159000E+02        0.750000E-01       -0.349000E-01        0.640000E+01
  20091023        0.331917E-05        0.552292E-04        0.160000E-05        0.229667E+01        0.597125E-02        0.101833E-01        0.502833E-04        0.219417E-08        0.125458E-02        0.123250E-02        0.326333E+00        0.282000E+00       -0.170958E-01        0.100000E+01        0.177983E-16        0.122000E+01        0.122000E+01        0.432000E-04        0.385417E-04        0.142000E+02        0.757000E-01       -0.342000E-01        0.640000E+01
  20091024        0.332125E-05        0.555208E-04        0.160792E-05        0.247542E+01        0.486708E-02        0.829250E-02        0.414625E-04        0.216583E-08        0.953333E-03        0.935125E-03        0.270292E+00        0.282000E+00       -0.186250E-01        0.100000E+01        0.206375E-16        0.122000E+01        0.122000E+01        0.268000E-04        0.292583E-04        0.140000E+02        0.765000E-01       -0.334000E-01        0.640000E+01
  20091025        0.341000E-05        0.554292E-04        0.163125E-05        0.261042E+01        0.506875E-02        0.860875E-02        0.409167E-04        0.212125E-08        0.939250E-03        0.921042E-03        0.257000E+00        0.283000E+00       -0.187708E-01        0.100000E+01        0.415688E-16        0.122000E+01        0.122000E+01        0.268000E-04        0.288250E-04        0.153000E+02        0.772000E-01       -0.328000E-01        0.640000E+01
  20091026        0.336542E-05        0.557750E-04        0.162000E-05        0.252125E+01        0.479083E-02        0.816000E-02        0.405292E-04        0.187875E-08        0.922500E-03        0.904542E-03        0.262167E+00        0.283000E+00       -0.188208E-01        0.100000E+01        0.123208E-16        0.122000E+01        0.122000E+01        0.268000E-04        0.282917E-04        0.142000E+02        0.780000E-01       -0.321000E-01        0.640000E+01
  20091027        0.335792E-05        0.559917E-04        0.162000E-05        0.249667E+01        0.467167E-02        0.796583E-02        0.402125E-04        0.172625E-08        0.910750E-03        0.892958E-03        0.262667E+00        0.283458E+00       -0.188958E-01        0.100000E+01        0.661167E-17        0.122000E+01        0.122000E+01        0.268000E-04        0.279167E-04        0.139000E+02        0.787000E-01       -0.315000E-01        0.640000E+01
  20091028        0.338583E-05        0.560417E-04        0.163000E-05        0.253917E+01        0.471333E-02        0.802667E-02        0.399625E-04        0.163083E-08        0.904208E-03        0.886458E-03        0.258292E+00        0.284000E+00       -0.189750E-01        0.100000E+01        0.315963E-16        0.122000E+01        0.122000E+01        0.268000E-04        0.277042E-04        0.142000E+02        0.794000E-01       -0.309000E-01        0.640000E+01
  20091029        0.347000E-05        0.558833E-04        0.166000E-05        0.266958E+01        0.495792E-02        0.841500E-02        0.397792E-04        0.158125E-08        0.903417E-03        0.885625E-03        0.247542E+00        0.284000E+00       -0.190417E-01        0.100000E+01        0.191317E-17        0.122000E+01        0.122000E+01        0.268000E-04        0.276708E-04        0.155000E+02        0.802000E-01       -0.303000E-01        0.640000E+01
  20091030        0.336083E-05        0.564625E-04        0.163000E-05        0.248958E+01        0.450125E-02        0.768083E-02        0.394292E-04        0.136958E-08        0.884417E-03        0.866958E-03        0.259708E+00        0.284833E+00       -0.190958E-01        0.100000E+01        0.458892E-16        0.122000E+01        0.122000E+01        0.268000E-04        0.270750E-04        0.135000E+02        0.809000E-01       -0.297000E-01        0.640000E+01
  20091031        0.334000E-05        0.567167E-04        0.163000E-05        0.245000E+01        0.437000E-02        0.746750E-02        0.391708E-04        0.125708E-08        0.874292E-03        0.857042E-03        0.261625E+00        0.285000E+00       -0.191375E-01        0.100000E+01        0.257321E-16        0.122000E+01        0.122000E+01        0.268000E-04        0.267500E-04        0.130000E+02        0.816000E-01       -0.292000E-01        0.640000E+01
  20091101        0.336208E-05        0.567667E-04        0.164000E-05        0.243208E+01        0.464250E-02        0.792875E-02        0.411708E-04        0.115083E-08        0.936458E-03        0.918250E-03        0.272917E+00        0.285208E+00       -0.188167E-01        0.100000E+01       -0.137667E-16        0.122000E+01        0.122000E+01        0.306000E-04        0.286458E-04        0.133000E+02        0.824000E-01       -0.286000E-01        0.640000E+01
  20091102        0.338167E-05        0.568417E-04        0.164833E-05        0.245750E+01        0.467458E-02        0.797792E-02        0.410833E-04        0.108625E-08        0.934208E-03        0.916042E-03        0.270542E+00        0.286000E+00       -0.188667E-01        0.100000E+01       -0.145792E-16        0.122000E+01        0.122000E+01        0.306000E-04        0.285625E-04        0.135000E+02        0.831000E-01       -0.281000E-01        0.640000E+01
  20091103        0.341000E-05        0.568750E-04        0.165875E-05        0.249458E+01        0.472167E-02        0.805125E-02        0.409083E-04        0.102000E-08        0.929917E-03        0.911708E-03        0.266667E+00        0.286000E+00       -0.189000E-01        0.100000E+01       -0.561417E-17        0.122000E+01        0.122000E+01        0.306000E-04        0.284250E-04        0.138000E+02        0.839000E-01       -0.276000E-01        0.640000E+01
  20091104        0.341417E-05        0.570250E-04        0.166000E-05        0.249750E+01        0.468875E-02        0.799500E-02        0.407292E-04        0.953750E-09        0.924125E-03        0.905958E-03        0.265750E+00        0.286625E+00       -0.189875E-01        0.100000E+01       -0.230583E-16        0.122000E+01        0.122000E+01        0.306000E-04        0.282333E-04        0.138000E+02        0.846000E-01       -0.271000E-01        0.640000E+01
  20091105        0.345167E-05        0.570333E-04        0.167375E-05        0.255042E+01        0.477458E-02        0.813000E-02        0.405583E-04        0.912458E-09        0.920875E-03        0.902792E-03        0.260667E+00        0.287000E+00       -0.190125E-01        0.100000E+01        0.782083E-17        0.122000E+01        0.122000E+01        0.306000E-04        0.281208E-04        0.143000E+02        0.853000E-01       -0.267000E-01        0.640000E+01
  20091106        0.350833E-05        0.569750E-04        0.169000E-05        0.263417E+01        0.492042E-02        0.836083E-02        0.404000E-04        0.874000E-09        0.919083E-03        0.900875E-03        0.253708E+00        0.287042E+00       -0.191000E-01        0.100000E+01       -0.348917E-16        0.122000E+01        0.122000E+01        0.306000E-04        0.280500E-04        0.150000E+02        0.861000E-01       -0.261000E-01        0.640000E+01
  20091107        0.357000E-05        0.569417E-04        0.171000E-05        0.272583E+01        0.508542E-02        0.861875E-02        0.402250E-04        0.847875E-09        0.917542E-03        0.899292E-03        0.246417E+00        0.288000E+00       -0.191667E-01        0.100000E+01       -0.174571E-16        0.122000E+01        0.122000E+01        0.306000E-04        0.279917E-04        0.159000E+02        0.868000E-01       -0.257000E-01        0.640000E+01
  20091108        0.358750E-05        0.570542E-04        0.172000E-05        0.274500E+01        0.509083E-02        0.862625E-02        0.400292E-04        0.922500E-09        0.913083E-03        0.894917E-03        0.244417E+00        0.288000E+00       -0.192000E-01        0.100000E+01       -0.114354E-16        0.122000E+01        0.122000E+01        0.306000E-04        0.278458E-04        0.160000E+02        0.860000E-01       -0.262000E-01        0.640000E+01
